Turtle ID,Observation Date,Observation Town
ST2006-23,29-Oct-06,Aquinnah
ST2006-37,26-Nov-06,Barnstable
ST2006-30,24-Nov-06,Barnstable
ST2006-31,24-Nov-06,Barnstable
ST2006-32,24-Nov-06,Barnstable
ST2006-33,24-Nov-06,Barnstable
ST2006-46,5-Dec-06,Bourne
ST2006-106,24-Dec-06,Brewster
ST2006-103,21-Dec-06,Brewster
ST2006-101,20-Dec-06,Brewster
ST2006-102,20-Dec-06,Brewster
ST2006-100,19-Dec-06,Brewster
ST2006-80,11-Dec-06,Brewster
ST2006-81,11-Dec-06,Brewster
ST2006-65,9-Dec-06,Brewster
ST2006-67,9-Dec-06,Brewster
ST2006-68,9-Dec-06,Brewster
ST2006-55,6-Dec-06,Brewster
ST2006-45,5-Dec-06,Brewster
ST2006-22,27-Oct-06,Brewster
ST2006-105,22-Dec-06,Dennis
ST2006-88,15-Dec-06,Dennis
ST2006-69,9-Dec-06,Dennis
ST2006-36,26-Nov-06,Dennis
ST2006-29,23-Nov-06,Dennis
ST2006-95,19-Dec-06,Eastham
ST2006-98,19-Dec-06,Eastham
ST2006-99,19-Dec-06,Eastham
ST2006-93,18-Dec-06,Eastham
ST2006-82,12-Dec-06,Eastham
ST2006-77,10-Dec-06,Eastham
ST2006-79,10-Dec-06,Eastham
ST2006-70,9-Dec-06,Eastham
ST2006-64,8-Dec-06,Eastham
ST2006-43,4-Dec-06,Eastham
ST2006-27,5-Nov-06,Eastham
ST2006-26,4-Nov-06,Eastham
ST2006-25,31-Oct-06,Eastham
ST2006-109,27-Dec-06,Orleans
ST2006-28,12-Nov-06,Orleans
ST2006-62,7-Dec-06,Provincetown
ST2006-38,2-Dec-06,Provincetown
ST2006-35,25-Nov-06,Sandwich
ST2006-34,24-Nov-06,Sandwich
ST2006-107,25-Dec-06,Truro
ST2006-104,22-Dec-06,Truro
ST2006-97,19-Dec-06,Truro
ST2006-94,18-Dec-06,Truro
ST2006-91,17-Dec-06,Truro
ST2006-89,16-Dec-06,Truro
ST2006-86,14-Dec-06,Truro
ST2006-74,10-Dec-06,Truro
ST2006-75,10-Dec-06,Truro
ST2006-76,10-Dec-06,Truro
ST2006-78,10-Dec-06,Truro
ST2006-72,9-Dec-06,Truro
ST2006-73,9-Dec-06,Truro
ST2006-63,8-Dec-06,Truro
ST2006-58,7-Dec-06,Truro
ST2006-59,7-Dec-06,Truro
ST2006-60,7-Dec-06,Truro
ST2006-61,7-Dec-06,Truro
ST2006-56,6-Dec-06,Truro
ST2006-44,4-Dec-06,Truro
ST2006-40,3-Dec-06,Truro
ST2006-41,3-Dec-06,Truro
ST2006-39,2-Dec-06,Truro
ST2006-24,30-Oct-06,Truro
ST2006-108,26-Dec-06,Wellfleet
ST2006-96,19-Dec-06,Wellfleet
ST2006-92,17-Dec-06,Wellfleet
ST2006-90,16-Dec-06,Wellfleet
ST2006-87,15-Dec-06,Wellfleet
ST2006-83,14-Dec-06,Wellfleet
ST2006-84,14-Dec-06,Wellfleet
ST2006-85,14-Dec-06,Wellfleet
ST2006-66,9-Dec-06,Wellfleet
ST2006-71,9-Dec-06,Wellfleet
ST2006-57,6-Dec-06,Wellfleet
ST2006-47,5-Dec-06,Wellfleet
ST2006-48,5-Dec-06,Wellfleet
ST2006-49,5-Dec-06,Wellfleet
ST2006-50,5-Dec-06,Wellfleet
ST2006-51,5-Dec-06,Wellfleet
ST2006-52,5-Dec-06,Wellfleet
ST2006-53,5-Dec-06,Wellfleet
ST2006-54,5-Dec-06,Wellfleet
ST2006-42,4-Dec-06,Wellfleet
